shopify_id,title,handle,type,model,tier,yotpo_key,key_source,yotpo_name,yotpo_group,reviews,score,other_keys
10120598946032,Rocky Matte Black Flag,spy-rocky-matte-black-flag-sunglasses,Sunglasses,ROCKY,C-group,673248374864,sibling,Rocky,ROCKY,214,4.66,
10120601862384,Rocky Matte Translucent Gunmetal,spy-rocky-matte-translucent-gunmetal-sunglasses,Sunglasses,ROCKY,C-group,673248374864,sibling,Rocky,ROCKY,214,4.66,
10120597962992,Rocky Sand Matte,spy-rocky-sand-matte-sunglasses,Sunglasses,ROCKY,C-group,673248374864,sibling,Rocky,ROCKY,214,4.66,
10120601698544,Flynn Black/Honey Tort,spy-flynn-black-honey-tort-sunglasses,Sunglasses,FLYNN,C-group,6700000000076,sibling,Flynn,FLYNN,192,4.82,
10120610578672,Dirk Matte Black,spy-dirk-matte-black-sunglasses,Sunglasses,DIRK,C-group,6800000000012,sibling,Dirk,DIRK,177,4.62,
10120604778736,Flynn 5050 Matte Blue Matte White,spy-flynn-5050-matte-blue-matte-white-sunglasses,Sunglasses,FLYNN 5050,C-group,6700000000045,sibling,Flynn 50/50,FLYNN 5050,117,4.67,
10120604942576,Flynn 5050 Matte Pink Matte Translucent White,spy-flynn-5050-matte-pink-matte-translucent-white-sunglasses,Sunglasses,FLYNN 5050,C-group,6700000000045,sibling,Flynn 50/50,FLYNN 5050,117,4.67,
10120605204720,Flynn 5050 Matte Purple Matte Black,spy-flynn-5050-matte-purple-matte-black-sunglasses,Sunglasses,FLYNN 5050,C-group,6700000000045,sibling,Flynn 50/50,FLYNN 5050,117,4.67,
10120597143792,Fiona Honey Tort Black,spy-fiona-honey-tort-black-sunglasses,Sunglasses,FIONA,C-group,670299220357,sibling,Fiona,FIONA,77,4.9,
10120599765232,Sunglass Pouch Beer,spy-sunglass-pouch-beer-sunglasses,Accessories,SUNGLASS POUCH,C-group,9700000000020,sibling,Sunglass Pouch,SUNGLASS POUCH,39,4.74,
10120598126832,Sunglass Pouch Bones,spy-sunglass-pouch-bones-sunglasses,Accessories,SUNGLASS POUCH,C-group,9700000000020,sibling,Sunglass Pouch,SUNGLASS POUCH,39,4.74,
10120601534704,Sunglass Pouch Cali,spy-sunglass-pouch-cali-sunglasses,Accessories,SUNGLASS POUCH,C-group,9700000000020,sibling,Sunglass Pouch,SUNGLASS POUCH,39,4.74,
10120597274864,Sunglass Pouch Colorado,spy-sunglass-pouch-colorado-sunglasses,Accessories,SUNGLASS POUCH,C-group,9700000000020,sibling,Sunglass Pouch,SUNGLASS POUCH,39,4.74,
10120599109872,Sunglass Pouch Palms,spy-sunglass-pouch-palms-sunglasses,Accessories,SUNGLASS POUCH,C-group,9700000000020,sibling,Sunglass Pouch,SUNGLASS POUCH,39,4.74,
10120599372016,Sunglass Pouch Party,spy-sunglass-pouch-party-sunglasses,Accessories,SUNGLASS POUCH,C-group,9700000000020,sibling,Sunglass Pouch,SUNGLASS POUCH,39,4.74,
10120599273712,Sunglass Pouch Send Noods,spy-sunglass-pouch-send-noods-sunglasses,Accessories,SUNGLASS POUCH,C-group,9700000000020,sibling,Sunglass Pouch,SUNGLASS POUCH,39,4.74,
10120605106416,Cyrus Optical 58 Gray Fade,spy-cyrus-optical-58-gray-fade-sunglasses,Eyeglasses,CYRUS OPTICAL 58,C-group,5700000000087,sibling,Cyrus Optical,CYRUS OPTICAL 60,13,4.69,
10120604483824,Cyrus Optical 60 Gray Fade,spy-cyrus-optical-60-gray-fade-sunglasses,Eyeglasses,CYRUS OPTICAL 60,C-group,5700000000089,sibling,Cyrus Optical,CYRUS OPTICAL 60,13,4.69,
10120614772976,Weston 54 Crystal Smoke,spy-weston-54-crystal-smoke-sunglasses,Sunglasses,WESTON 54,C-group,5700000000034,sibling,Weston 54,WESTON 54,11,4.64,
10120615035120,Weston 54 Soft Black Matte,spy-weston-54-soft-black-matte-sunglasses,Sunglasses,WESTON 54,C-group,5700000000034,sibling,Weston 54,WESTON 54,11,4.64,
10120615002352,Weston 54 Translucent Blue,spy-weston-54-translucent-blue-sunglasses,Sunglasses,WESTON 54,C-group,5700000000034,sibling,Weston 54,WESTON 54,11,4.64,
10120614805744,Weston 54 Translucent Green,spy-weston-54-translucent-green-sunglasses,Sunglasses,WESTON 54,C-group,5700000000034,sibling,Weston 54,WESTON 54,11,4.64,
10120609333488,Weston 56 Crystal Smoke,spy-weston-56-crystal-smoke-sunglasses,Sunglasses,WESTON 56,C-group,573486374000,sibling,Weston 56,WESTON 54,11,4.64,
10120609267952,Weston 56 Translucent Blue,spy-weston-56-translucent-blue-sunglasses,Sunglasses,WESTON 56,C-group,573486374000,sibling,Weston 56,WESTON 54,11,4.64,
10120609726704,Weston 56 Translucent Green,spy-weston-56-translucent-green-sunglasses,Sunglasses,WESTON 56,C-group,573486374000,sibling,Weston 56,WESTON 54,11,4.64,
